File	Encoding
my_file-1300.html	utf-8
my_file-1301.html	utf-8
my_file-1302.html	utf-8
my_file-1303.html	utf-8
my_file-1304.html	utf-8
my_file-1305.html	utf-8
my_file-1306.html	utf-8
my_file-1307.html	utf-8
my_file-1308.html	utf-8
my_file-1309.html	utf-8
my_file-131.html	utf-8
my_file-1310.html	utf-8
my_file-1311.html	utf-8
my_file-1312.html	utf-8
my_file-1313.html	utf-8
my_file-1314.html	utf-8
my_file-1315.html	utf-8
my_file-1316.html	utf-8
my_file-1317.html	utf-8
my_file-1318.html	utf-8
my_file-1319.html	utf-8
my_file-132.html	utf-8
my_file-1320.html	utf-8
my_file-1321.html	utf-8
my_file-1322.html	utf-8
my_file-1323.html	utf-8
my_file-1324.html	utf-8
my_file-1325.html	utf-8
my_file-1326.html	utf-8
my_file-1327.html	utf-8
my_file-1328.html	utf-8
my_file-1329.html	utf-8
my_file-133.html	utf-8
my_file-1330.html	utf-8
my_file-1331.html	utf-8
my_file-1332.html	utf-8
my_file-1333.html	utf-8
my_file-1334.html	utf-8
my_file-1335.html	utf-8
my_file-1336.html	utf-8
my_file-1337.html	utf-8
my_file-1338.html	utf-8
my_file-1339.html	utf-8
my_file-134.html	utf-8
my_file-1340.html	utf-8
my_file-1341.html	utf-8
my_file-1342.html	utf-8
my_file-1343.html	utf-8
my_file-1344.html	utf-8
my_file-1345.html	utf-8
my_file-1346.html	utf-8
my_file-1347.html	utf-8
my_file-1348.html	utf-8
my_file-1349.html	utf-8
my_file-135.html	utf-8
my_file-1350.html	utf-8
my_file-1351.html	utf-8
my_file-1352.html	utf-8
my_file-1353.html	utf-8
my_file-1354.html	utf-8
my_file-1355.html	utf-8
my_file-1356.html	utf-8
my_file-1357.html	utf-8
my_file-1358.html	utf-8
my_file-1359.html	utf-8
my_file-136.html	Windows-1254
my_file-1360.html	utf-8
my_file-1361.html	utf-8
my_file-1362.html	utf-8
my_file-1363.html	utf-8
my_file-1364.html	utf-8
my_file-1365.html	utf-8
my_file-1366.html	utf-8
my_file-1367.html	utf-8
my_file-1368.html	utf-8
my_file-1369.html	utf-8
my_file-137.html	utf-8
my_file-1370.html	utf-8
my_file-1371.html	utf-8
my_file-1372.html	utf-8
my_file-1373.html	utf-8
my_file-1374.html	utf-8
my_file-1375.html	utf-8
my_file-1376.html	utf-8
my_file-1377.html	utf-8
my_file-1378.html	utf-8
my_file-1379.html	utf-8
my_file-138.html	utf-8
my_file-1380.html	utf-8
my_file-1381.html	utf-8
my_file-1382.html	utf-8
my_file-1383.html	utf-8
my_file-1384.html	utf-8
my_file-1385.html	utf-8
my_file-1386.html	utf-8
my_file-1387.html	utf-8
my_file-1388.html	utf-8
my_file-1389.html	utf-8
my_file-139.html	utf-8
my_file-1390.html	utf-8
my_file-1391.html	utf-8
my_file-1392.html	utf-8
my_file-1393.html	utf-8
my_file-1394.html	utf-8
my_file-1395.html	utf-8
my_file-1396.html	utf-8
my_file-1397.html	utf-8
my_file-1398.html	utf-8
my_file-1399.html	utf-8
my_file-14.html	utf-8
my_file-140.html	utf-8
my_file-1400.html	utf-8
my_file-1401.html	utf-8
my_file-1402.html	utf-8
my_file-1403.html	utf-8
my_file-1404.html	utf-8
my_file-1405.html	utf-8
my_file-1406.html	utf-8
my_file-1407.html	utf-8
my_file-1408.html	utf-8
my_file-1409.html	utf-8
my_file-141.html	utf-8
my_file-1410.html	utf-8
my_file-1411.html	utf-8
my_file-1412.html	utf-8
my_file-1413.html	utf-8
my_file-1414.html	utf-8
my_file-1415.html	utf-8
my_file-1416.html	utf-8
my_file-1417.html	utf-8
my_file-1418.html	utf-8
my_file-1419.html	utf-8
my_file-142.html	utf-8
my_file-1420.html	utf-8
my_file-1421.html	utf-8
my_file-1422.html	utf-8
my_file-1423.html	utf-8
my_file-1424.html	utf-8
my_file-1425.html	utf-8
my_file-1426.html	utf-8
my_file-1427.html	utf-8
my_file-1428.html	utf-8
my_file-1429.html	utf-8
my_file-143.html	utf-8
my_file-1430.html	utf-8
my_file-1431.html	utf-8
my_file-1432.html	utf-8
my_file-1433.html	utf-8
my_file-1434.html	utf-8
my_file-1435.html	utf-8
my_file-1436.html	utf-8
my_file-1437.html	utf-8
my_file-1438.html	utf-8
my_file-1439.html	utf-8
my_file-144.html	utf-8
my_file-1440.html	utf-8
my_file-1441.html	utf-8
my_file-1442.html	utf-8
my_file-1443.html	utf-8
my_file-1444.html	utf-8
my_file-1445.html	utf-8
my_file-1446.html	utf-8
my_file-1447.html	utf-8
my_file-1448.html	utf-8
my_file-1449.html	utf-8
my_file-145.html	Windows-1254
my_file-1450.html	utf-8
my_file-1451.html	utf-8
my_file-1452.html	utf-8
my_file-1453.html	utf-8
my_file-1454.html	utf-8
my_file-1455.html	utf-8
my_file-1456.html	utf-8
my_file-1457.html	utf-8
my_file-1458.html	utf-8
my_file-1459.html	utf-8
my_file-146.html	utf-8
