File number	Encoding	Confidence
419	utf-8	0.99
420	utf-8	0.99
421	utf-8	0.99
422	utf-8	0.99
423	utf-8	0.99
424	utf-8	0.99
425	utf-8	0.99
426	utf-8	0.99
427	utf-8	0.99
428	utf-8	0.99
429	utf-8	0.99
430	utf-8	0.99
431	utf-8	0.99
432	utf-8	0.99
433	utf-8	0.99
434	utf-8	0.99
435	utf-8	0.99
436	utf-8	0.99
437	utf-8	0.99
438	utf-8	0.99
439	utf-8	0.99
440	utf-8	0.99
441	utf-8	0.99
442	utf-8	0.99
443	utf-8	0.99
444	utf-8	0.99
445	utf-8	0.99
446	utf-8	0.99
447	utf-8	0.99
448	utf-8	0.99
449	utf-8	0.99
450	utf-8	0.99
451	utf-8	0.99
452	utf-8	0.99
453	utf-8	0.99
454	utf-8	0.99
455	utf-8	0.99
456	utf-8	0.99
457	utf-8	0.99
458	utf-8	0.99
459	Windows-1254	0.5025533033033378
460	utf-8	0.99
461	utf-8	0.99
462	utf-8	0.99
463	utf-8	0.99
464	Windows-1254	0.5993867573010788
465	utf-8	0.99
466	utf-8	0.99
467	Windows-1254	0.4575940930515892
468	Windows-1254	0.3921862724388443
469	utf-8	0.99
470	utf-8	0.99
471	utf-8	0.99
472	utf-8	0.99
473	utf-8	0.99
474	utf-8	0.99
475	utf-8	0.99
476	utf-8	0.99
477	utf-8	0.99
478	utf-8	0.99
479	utf-8	0.99
480	utf-8	0.99
481	utf-8	0.99
482	utf-8	0.99
483	utf-8	0.99
484	utf-8	0.99
485	utf-8	0.99
486	utf-8	0.99
487	utf-8	0.99
488	utf-8	0.99
489	utf-8	0.99
490	utf-8	0.99
491	utf-8	0.99
492	utf-8	0.99
493	utf-8	0.99
494	utf-8	0.99
495	utf-8	0.99
496	utf-8	0.99
497	utf-8	0.99
498	utf-8	0.99
499	utf-8	0.99
500	utf-8	0.99
501	utf-8	0.99
502	utf-8	0.99
503	utf-8	0.99
504	utf-8	0.99
505	utf-8	0.99
506	utf-8	0.99
507	utf-8	0.99
508	utf-8	0.99
509	utf-8	0.99
510	utf-8	0.99
511	utf-8	0.99
512	utf-8	0.99
513	utf-8	0.99
514	utf-8	0.99
515	utf-8	0.99
516	utf-8	0.99
517	utf-8	0.99
518	utf-8	0.99
519	utf-8	0.99
520	utf-8	0.99
521	utf-8	0.99
522	utf-8	0.99
523	utf-8	0.99
524	utf-8	0.99
525	utf-8	0.99
526	utf-8	0.99
527	utf-8	0.99
528	utf-8	0.99
529	utf-8	0.99
530	utf-8	0.99
531	utf-8	0.99
532	utf-8	0.99
533	utf-8	0.99
534	utf-8	0.99
535	utf-8	0.99
536	utf-8	0.99
537	utf-8	0.99
538	utf-8	0.99
539	utf-8	0.99
540	utf-8	0.99
541	utf-8	0.99
542	utf-8	0.99
543	utf-8	0.99
544	utf-8	0.99
545	utf-8	0.99
546	utf-8	0.99
547	utf-8	0.99
548	utf-8	0.99
549	utf-8	0.99
550	utf-8	0.99
551	utf-8	0.99
552	utf-8	0.99
553	utf-8	0.99
554	utf-8	0.99
555	utf-8	0.99
556	utf-8	0.99
557	utf-8	0.99
558	utf-8	0.99
559	utf-8	0.99
560	utf-8	0.99
561	utf-8	0.99
562	utf-8	0.99
563	utf-8	0.99
564	utf-8	0.99
565	utf-8	0.99
566	utf-8	0.99
567	utf-8	0.99
568	utf-8	0.99
569	utf-8	0.99
570	utf-8	0.99
